ISBN,avg_rating,num_ratings
 0330299891,6.0,1
 0375404120,3.0,1
 9022906116,7.0,1
#6612432,5.0,1
'9607092910',10.0,1
)416195113,8.0,1
)452273056,8.0,1
)553267833,7.0,1
",.0330486187",6.0,1
/8741060773,9.0,1
0 00 655241 2,8.0,1
0 09 944678 2,9.0,1
0 14 02.9640,9.0,1
0 297 64548 X,8.0,1
0 330 10597 3,8.0,1
0 440 20615 4,9.0,1
0 671 74251 5,9.0,1
0 907 062 008,10.0,3
0*449002632,7.0,1
0*553*072412,5.0,1
0*708880258,9.0,1
0+399139745,9.0,1
0-517-18725-6,4.0,1
0.15.602732.1,7.0,1
0.330241664,10.0,1
0.380.44099.7,10.0,1
0.380.50377.8,10.0,1
0.473.087979,8.0,1
0/330/25864/8,9.25,4
00 14 02 5314,6.0,1
00000000,8.0,2
000000000,3.5,2
0000000000,7.6,5
00000000000,8.0,1
000000000000,7.0,1
0000000000000,7.666666666666667,3
0000000000090,10.0,1
0000000010,8.0,1
0000000016964,7.0,1
0000000020,9.0,1
0000000022057,3.0,1
0000000029841,9.0,1
0000000030670,8.0,1
0000000048118,8.0,1
0000000051,8.0,1
00000001949,7.0,1
00000001965,7.0,1
000000046565,1.0,1
000000078245,9.0,1
0000001042283,8.5,2
0000001077469,6.0,1
000001246971,8.0,2
0000018030,5.0,1
000003827X,8.0,2
0000094072,8.0,2
0000121214523,7.0,1
0000225820X,5.0,1
00006332463,5.0,1
00006374921,10.0,1
00006512054,7.0,1
00006750184,7.0,1
00007167040,3.0,1
0000722105029,8.0,1
0000913154,8.0,1
0001016237,10.0,1
0001033085,7.0,1
0001046438,9.0,1
000104687X,6.0,1
0001047213,9.0,1
0001047973,9.0,2
000104799X,7.5,2
0001048082,8.0,2
0001048252,6.0,1
0001048759,8.0,1
000105337X,10.0,1
0001053736,5.0,1
0001053744,5.0,1
0001055607,8.0,1
0001055666,7.0,3
0001056107,8.0,2
0001061127,8.0,1
0001360469,10.0,1
0001374362,9.0,1
0001374869,10.0,1
000160418X,7.0,1
0001700138,9.0,1
000171306X,10.0,1
0001713345,10.0,1
0001714600,8.0,1
0001811819,8.0,1
0001821024,8.0,1
0001821326,10.0,1
0001837397,9.0,1
0001839233,6.0,1
0001841572,5.0,1
0001845039,10.0,1
0001846434,8.0,1
0001850121,8.0,1
0001856367,9.0,1
0001857258,10.0,1
000185741X,8.0,1
0001857428,8.0,1
0001900277,10.0,1
0001911619,10.0,1
0001926284,10.0,1
0001935968,10.0,1
0001938134,8.0,1
0001939203,8.0,1
0001941941,9.0,1
0001941968,9.0,1
0001944088,9.0,1
0001944711,6.0,1
0001944916,8.0,1
0001944940,9.0,1
0001945181,8.0,1
0001945203,5.0,1
0001950827,9.0,1
0001952803,7.0,1
0001953877,10.0,1
0001957406,10.0,1
0001981307,9.0,1
0001981323,10.0,1
0001981625,8.0,1
0002000369,8.0,1
0002000547,8.0,1
000200092,7.0,1
0002005018,7.666666666666667,9
0002005050,10.0,1
0002005115,9.0,3
0002005395,8.0,1
0002005549,7.0,1
0002005557,7.0,1
0002006588,8.0,2
0002006758,8.0,1
0002111314,6.0,1
0002113406,9.0,1
0002115328,9.0,1
0002116286,7.25,4
000211737,9.0,1
0002118580,8.0,2
0002132441,9.0,1
0002139892,8.0,1
0002153572,7.0,2
0002154900,8.0,1
0002154978,9.0,1
0002157446,8.0,1
0002157950,10.0,1
000215871X,7.0,1
0002158973,8.0,1
0002159848,8.0,2
0002160099,8.0,1
0002163578,5.0,1
0002163713,8.0,1
0002164868,8.0,1
0002165368,8.0,1
0002166828,8.0,1
0002167956,7.0,1
0002172755,8.0,1
0002176181,9.0,1
0002176432,5.0,2
0002179105,7.0,1
0002179695,9.0,1
0002181924,5.0,1
0002184974,7.5,2
0002187035,5.0,1
0002187272,10.0,1
0002187957,9.0,1
0002189569,4.0,1
0002190915,9.5,2
0002191792,10.0,1
0002192101,10.0,1
0002192152,10.0,1
0002197154,7.0,1
0002197286,9.0,1
0002198274,9.0,1
0002199009,9.0,1
0002199793,10.0,1
0002200309,10.0,1
0002201240,6.0,1
0002210436,5.0,1
0002210479,6.0,1
0002210967,10.0,1
0002211890,7.5,2
0002214067,10.0,1
0002216140,7.0,1
000221766X,8.0,1
0002219980,6.0,1
0002221810,5.0,1
0002222469,8.0,1
0002222752,5.0,1
0002223139,10.0,1
000222335X,7.0,1
0002223929,8.0,1
0002224216,9.0,1
0002226162,9.0,1
0002226324,8.0,1
000222674X,9.0,1
0002227150,6.0,1
0002228033,8.0,1
0002228394,8.0,2
0002231352,4.0,1
000223162X,8.0,1
0002231689,8.0,1
000223257X,7.0,1
0002232898,7.0,1
0002233509,10.0,1
0002235390,6.0,1
0002235617,9.0,1
